Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
05/05/2025;CFG;CFG BANK;226.60;226.20;228.95;225.10;340875.90;1507;44;7918800552.00
02/05/2025;CFG;CFG BANK;226.60;228.90;229.00;226.60;2551824.25;11156;40;8013322044.00
30/04/2025;CFG;CFG BANK;226.10;229.00;232.90;226.10;15443760.05;67316;43;8016822840.00
29/04/2025;CFG;CFG BANK;228.00;227.90;231.00;225.10;1078686.40;4740;50;7978314084.00
28/04/2025;CFG;CFG BANK;230.00;228.10;233.90;228.00;1233249.90;5368;87;7985315676.00
25/04/2025;CFG;CFG BANK;230.00;230.00;235.00;228.00;11011547.90;47520;77;8051830800.00
24/04/2025;CFG;CFG BANK;227.00;229.00;230.05;225.00;4053372.85;17774;97;8016822840.00
23/04/2025;CFG;CFG BANK;225.90;226.00;226.00;222.05;2904359.55;12941;51;7911798960.00
22/04/2025;CFG;CFG BANK;224.50;223.00;224.60;222.00;2620451.40;11677;31;7806775080.00
21/04/2025;CFG;CFG BANK;220.65;224.00;225.00;220.65;789438.15;3540;39;7841783040.00
18/04/2025;CFG;CFG BANK;225.00;220.50;226.00;220.00;5743574.25;25752;59;7719255180.00
17/04/2025;CFG;CFG BANK;227.00;224.00;227.00;223.95;1742070.20;7723;52;7841783040.00
16/04/2025;CFG;CFG BANK;221.00;224.00;227.45;221.00;1880266.85;8359;57;7841783040.00
15/04/2025;CFG;CFG BANK;215.70;220.25;227.50;215.70;8623521.75;39277;123;7710503190.00
14/04/2025;CFG;CFG BANK;214.00;215.00;215.95;211.00;1344957.45;6262;51;7526711400.00
11/04/2025;CFG;CFG BANK;216.00;210.00;216.00;210.00;7174754.75;34030;86;7351671600.00
10/04/2025;CFG;CFG BANK;224.00;215.00;224.00;215.00;4995734.95;22803;148;7526711400.00
09/04/2025;CFG;CFG BANK;205.00;213.00;215.00;198.00;47028618.35;227122;345;7456695480.00
08/04/2025;CFG;CFG BANK;206.00;210.00;214.40;206.00;8661723.95;41244;189;7351671600.00
07/04/2025;CFG;CFG BANK;215.00;205.00;216.00;200.10;5658136.60;27329;255;7176631800.00
04/04/2025;CFG;CFG BANK;221.20;222.00;223.00;216.00;19850174.75;89625;107;7771767120.00
03/04/2025;CFG;CFG BANK;225.40;222.00;225.40;220.10;3495974.65;15697;112;7771767120.00
02/04/2025;CFG;CFG BANK;225.00;224.00;227.10;223.20;879291.20;3921;74;7841783040.00
28/03/2025;CFG;CFG BANK;223.20;225.00;227.50;223.15;11056157.50;49232;72;7876791000.00
27/03/2025;CFG;CFG BANK;224.00;223.15;227.90;223.15;7664387.90;34330;84;7812026274.00
26/03/2025;CFG;CFG BANK;229.00;223.15;231.80;222.00;68982908.65;309049;188;7812026274.00
25/03/2025;CFG;CFG BANK;229.00;228.00;231.90;228.00;8374699.00;36488;119;7981814880.00
24/03/2025;CFG;CFG BANK;230.00;229.00;231.10;229.00;10440412.15;45526;166;8016822840.00
21/03/2025;CFG;CFG BANK;232.50;232.00;232.80;230.15;5289485.75;22801;67;8121846720.00
20/03/2025;CFG;CFG BANK;230.00;232.00;233.00;230.00;5744722.50;24697;50;8121846720.00
19/03/2025;CFG;CFG BANK;233.00;230.00;234.00;230.00;13306772.35;57304;118;8051830800.00
18/03/2025;CFG;CFG BANK;232.00;229.00;232.00;228.00;3247779.70;14180;54;8016822840.00
17/03/2025;CFG;CFG BANK;229.00;229.50;230.10;228.50;568117.35;2473;47;8034326820.00
14/03/2025;CFG;CFG BANK;230.00;229.50;230.05;225.00;15521862.15;67698;64;8034326820.00
13/03/2025;CFG;CFG BANK;224.00;229.00;229.40;220.00;2960304.30;13123;54;8016822840.00
