Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
25/06/2026;SNA;STOKVIS NORD AFRIQUE;74.99;73.99;74.99;72.20;353105.51;4826;45;1309264148.50
24/06/2026;SNA;STOKVIS NORD AFRIQUE;75.00;73.09;75.30;73.08;322099.56;4345;58;1293338513.50
23/06/2026;SNA;STOKVIS NORD AFRIQUE;75.00;75.00;75.00;74.20;121683.12;1629;41;1327136250.00
22/06/2026;SNA;STOKVIS NORD AFRIQUE;76.04;75.13;76.16;74.50;163372.81;2165;43;1329436619.50
19/06/2026;SNA;STOKVIS NORD AFRIQUE;77.00;76.01;78.00;74.05;54615.21;711;30;1345008351.50
18/06/2026;SNA;STOKVIS NORD AFRIQUE;80.00;77.90;80.00;75.15;373573.24;4717;62;1378452185.00
16/06/2026;SNA;STOKVIS NORD AFRIQUE;80.77;78.01;80.77;78.00;329159.65;4113;60;1380398651.50
15/06/2026;SNA;STOKVIS NORD AFRIQUE;78.00;79.50;80.00;76.30;647379.09;8256;121;1406764425.00
12/06/2026;SNA;STOKVIS NORD AFRIQUE;75.01;76.20;76.99;75.01;157721.74;2076;62;1348370430.00
11/06/2026;SNA;STOKVIS NORD AFRIQUE;74.00;73.00;74.00;72.00;249090.15;3435;62;1291745950.00
10/06/2026;SNA;STOKVIS NORD AFRIQUE;76.00;74.01;76.00;74.01;135600.11;1798;34;1309618051.50
09/06/2026;SNA;STOKVIS NORD AFRIQUE;75.99;75.00;77.55;74.51;216523.02;2867;32;1327136250.00
08/06/2026;SNA;STOKVIS NORD AFRIQUE;75.95;75.50;75.95;72.20;136611.06;1835;57;1335983825.00
05/06/2026;SNA;STOKVIS NORD AFRIQUE;76.05;76.45;77.50;76.05;188758.48;2464;32;1352794217.50
04/06/2026;SNA;STOKVIS NORD AFRIQUE;73.01;77.50;78.00;73.01;930256.30;12262;126;1371374125.00
03/06/2026;SNA;STOKVIS NORD AFRIQUE;73.76;73.86;73.86;72.00;913419.76;12510;185;1306963779.00
02/06/2026;SNA;STOKVIS NORD AFRIQUE;81.39;74.30;81.39;73.00;3651083.98;48826;534;1314749645.00
01/06/2026;SNA;STOKVIS NORD AFRIQUE;82.80;80.50;82.80;79.95;374142.77;4643;106;1424459575.00
26/05/2026;SNA;STOKVIS NORD AFRIQUE;82.00;81.00;83.00;81.00;368517.64;4515;75;1433307150.00
25/05/2026;SNA;STOKVIS NORD AFRIQUE;84.80;83.00;85.00;81.18;541683.81;6499;117;1468697450.00
22/05/2026;SNA;STOKVIS NORD AFRIQUE;80.00;81.99;82.00;80.00;83805.76;1030;31;1450825348.50
21/05/2026;SNA;STOKVIS NORD AFRIQUE;79.30;81.50;83.00;79.30;201973.89;2482;51;1442154725.00
20/05/2026;SNA;STOKVIS NORD AFRIQUE;81.87;80.00;81.99;78.90;477735.88;5967;96;1415612000.00
19/05/2026;SNA;STOKVIS NORD AFRIQUE;81.51;81.53;83.90;81.51;776274.77;9492;98;1442685579.50
18/05/2026;SNA;STOKVIS NORD AFRIQUE;83.20;82.10;84.95;81.00;1342866.82;16256;121;1452771815.00
15/05/2026;SNA;STOKVIS NORD AFRIQUE;85.78;84.49;85.78;83.20;786908.72;9351;93;1495063223.50
14/05/2026;SNA;STOKVIS NORD AFRIQUE;86.00;85.49;86.00;84.01;661877.94;7816;69;1512758373.50
13/05/2026;SNA;STOKVIS NORD AFRIQUE;87.00;85.40;87.00;85.01;1177573.67;13731;113;1511165810.00
12/05/2026;SNA;STOKVIS NORD AFRIQUE;87.85;88.00;88.00;85.55;2010302.55;22992;127;1557173200.00
11/05/2026;SNA;STOKVIS NORD AFRIQUE;85.00;87.50;88.45;85.00;2756384.00;31527;164;1548325625.00
08/05/2026;SNA;STOKVIS NORD AFRIQUE;86.20;86.99;87.00;85.02;718084.77;8338;105;1539301098.50
07/05/2026;SNA;STOKVIS NORD AFRIQUE;86.90;88.00;90.40;86.53;2026474.06;22829;182;1557173200.00
06/05/2026;SNA;STOKVIS NORD AFRIQUE;82.50;86.39;86.96;82.01;2244374.94;26393;264;1528684008.50
05/05/2026;SNA;STOKVIS NORD AFRIQUE;82.00;80.50;82.00;78.00;682878.10;8568;111;1424459575.00
04/05/2026;SNA;STOKVIS NORD AFRIQUE;82.99;82.47;83.29;80.85;327878.39;3990;79;1459319020.50
30/04/2026;SNA;STOKVIS NORD AFRIQUE;81.44;80.50;81.44;78.30;1288290.32;16204;185;1424459575.00
29/04/2026;SNA;STOKVIS NORD AFRIQUE;84.00;81.07;84.00;81.00;1824210.69;22236;242;1434545810.50
