Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
14/05/2025;STR;STROC INDUSTRIE;58.00;57.60;58.00;55.75;90954.79;1621;31;71914464.00
13/05/2025;STR;STROC INDUSTRIE;59.00;56.55;59.00;56.55;234546.92;4106;55;70603523.25
12/05/2025;STR;STROC INDUSTRIE;57.00;59.20;59.30;57.00;68237.27;1160;34;73912088.00
09/05/2025;STR;STROC INDUSTRIE;57.90;57.45;57.90;57.45;5176.51;90;10;71727186.75
08/05/2025;STR;STROC INDUSTRIE;56.50;54.87;56.55;54.86;73536.83;1333;27;68506018.05
07/05/2025;STR;STROC INDUSTRIE;55.50;56.50;57.00;55.12;12762.54;228;11;70541097.50
06/05/2025;STR;STROC INDUSTRIE;57.50;55.02;57.60;55.00;338501.82;6108;56;68693295.30
05/05/2025;STR;STROC INDUSTRIE;58.20;58.70;58.70;57.50;30382.60;527;6;73287830.50
02/05/2025;STR;STROC INDUSTRIE;58.01;58.00;59.59;58.00;41674.35;714;13;72413870.00
30/04/2025;STR;STROC INDUSTRIE;58.03;59.69;59.99;58.00;126173.32;2167;29;74523860.35
29/04/2025;STR;STROC INDUSTRIE;62.46;60.00;62.46;59.33;24423.57;401;20;74910900.00
28/04/2025;STR;STROC INDUSTRIE;58.83;61.79;62.00;58.83;72356.04;1195;29;77145741.85
25/04/2025;STR;STROC INDUSTRIE;58.80;60.98;61.47;57.50;266476.52;4450;55;76134444.70
24/04/2025;STR;STROC INDUSTRIE;56.89;58.70;58.70;56.80;311068.03;5411;31;73287830.50
23/04/2025;STR;STROC INDUSTRIE;56.80;56.80;56.80;56.00;16417.00;290;6;70915652.00
22/04/2025;STR;STROC INDUSTRIE;56.10;56.89;56.89;56.10;10572.03;187;7;71028018.35
21/04/2025;STR;STROC INDUSTRIE;57.49;56.95;57.49;56.94;4105.70;72;4;71102929.25
18/04/2025;STR;STROC INDUSTRIE;56.59;57.40;57.50;56.00;63413.46;1114;19;71664761.00
17/04/2025;STR;STROC INDUSTRIE;55.00;56.49;56.49;54.70;95343.10;1735;17;70528612.35
16/04/2025;STR;STROC INDUSTRIE;56.00;54.72;57.00;54.72;109801.88;1987;23;68318740.80
15/04/2025;STR;STROC INDUSTRIE;57.55;56.00;57.55;56.00;5190.70;92;8;69916840.00
14/04/2025;STR;STROC INDUSTRIE;51.80;56.00;57.00;51.80;121022.39;2216;17;69916840.00
11/04/2025;STR;STROC INDUSTRIE;58.97;56.89;58.97;56.89;1490.86;26;4;71028018.35
10/04/2025;STR;STROC INDUSTRIE;57.00;55.00;57.00;55.00;58181.54;1030;21;68668325.00
09/04/2025;STR;STROC INDUSTRIE;49.62;52.58;55.99;49.62;83437.12;1616;22;65646918.70
08/04/2025;STR;STROC INDUSTRIE;50.20;53.00;58.00;50.20;304846.92;5805;48;66171295.00
07/04/2025;STR;STROC INDUSTRIE;61.90;55.76;61.90;55.76;150116.17;2634;45;69617196.40
04/04/2025;STR;STROC INDUSTRIE;63.95;61.95;63.95;56.00;161996.78;2798;57;77345504.25
03/04/2025;STR;STROC INDUSTRIE;64.99;62.12;64.99;62.12;381845.62;6043;49;77557751.80
02/04/2025;STR;STROC INDUSTRIE;63.98;65.00;65.00;62.00;637502.35;9960;94;81153475.00
28/03/2025;STR;STROC INDUSTRIE;61.01;62.00;64.83;61.01;168236.55;2724;44;77407930.00
27/03/2025;STR;STROC INDUSTRIE;65.50;61.00;66.29;60.70;589952.91;9277;93;76159415.00
26/03/2025;STR;STROC INDUSTRIE;58.11;64.89;64.89;58.11;1557355.04;24633;158;81016138.35
25/03/2025;STR;STROC INDUSTRIE;58.98;59.00;59.00;57.60;260533.47;4436;34;73662385.00
24/03/2025;STR;STROC INDUSTRIE;57.99;59.00;59.00;56.28;115575.45;1996;29;73662385.00
21/03/2025;STR;STROC INDUSTRIE;58.77;58.55;58.77;53.50;908867.81;16299;108;73100553.25
20/03/2025;STR;STROC INDUSTRIE;67.50;58.80;67.90;57.00;2050351.07;32510;263;73412682.00
19/03/2025;STR;STROC INDUSTRIE;61.90;62.53;62.53;61.90;550180.35;8875;67;78069642.95
18/03/2025;STR;STROC INDUSTRIE;55.00;56.85;56.85;53.50;930435.59;16792;98;70978077.75
17/03/2025;STR;STROC INDUSTRIE;48.00;51.69;51.69;48.00;946290.94;18879;63;64535740.35
14/03/2025;STR;STROC INDUSTRIE;45.96;47.00;48.00;45.96;528582.31;11142;54;58680205.00
13/03/2025;STR;STROC INDUSTRIE;44.31;45.00;45.00;44.31;7031.34;158;5;56183175.00
12/03/2025;STR;STROC INDUSTRIE;44.30;46.00;46.00;44.30;45604.02;1009;20;57431690.00
11/03/2025;STR;STROC INDUSTRIE;46.00;44.30;46.00;44.30;16783.00;370;7;55309214.50
10/03/2025;STR;STROC INDUSTRIE;46.97;46.00;46.97;45.03;15774.50;344;8;57431690.00
07/03/2025;STR;STROC INDUSTRIE;47.38;46.99;47.38;46.99;9321.23;197;7;58667719.85
06/03/2025;STR;STROC INDUSTRIE;45.99;47.00;47.50;45.99;480769.27;10244;44;58680205.00
05/03/2025;STR;STROC INDUSTRIE;44.05;45.80;45.99;44.05;9924.76;216;7;57181987.00
04/03/2025;STR;STROC INDUSTRIE;46.04;46.04;46.04;46.04;46.04;1;1;57481630.60
03/03/2025;STR;STROC INDUSTRIE;46.00;46.00;46.00;46.00;9430.00;205;5;57431690.00
28/02/2025;STR;STROC INDUSTRIE;44.99;45.69;45.97;44.00;45949.19;1016;19;57044650.35
27/02/2025;STR;STROC INDUSTRIE;43.50;44.50;44.50;43.50;6985.00;160;5;55558917.50
26/02/2025;STR;STROC INDUSTRIE;46.50;45.50;46.50;43.13;67422.27;1523;30;56807432.50
25/02/2025;STR;STROC INDUSTRIE;47.00;46.59;47.00;44.60;34834.17;760;16;58168313.85
24/02/2025;STR;STROC INDUSTRIE;47.00;46.00;47.00;44.83;73237.75;1576;26;57431690.00
21/02/2025;STR;STROC INDUSTRIE;44.00;46.75;47.80;43.00;375127.87;8293;64;58368076.25
20/02/2025;STR;STROC INDUSTRIE;43.50;43.50;44.00;43.05;64955.50;1497;22;54310402.50
19/02/2025;STR;STROC INDUSTRIE;44.00;44.00;44.40;43.00;57345.86;1307;23;54934660.00
18/02/2025;STR;STROC INDUSTRIE;44.75;44.49;44.78;43.70;16341.35;369;14;55546432.35
17/02/2025;STR;STROC INDUSTRIE;43.00;44.70;44.90;43.00;9542.30;219;21;55808620.50
14/02/2025;STR;STROC INDUSTRIE;44.00;44.00;44.01;43.00;16581.41;382;9;54934660.00
13/02/2025;STR;STROC INDUSTRIE;42.32;43.89;44.00;42.32;14122.80;326;13;54797323.35
12/02/2025;STR;STROC INDUSTRIE;45.90;43.60;45.90;43.60;27608.17;632;10;54435254.00
11/02/2025;STR;STROC INDUSTRIE;43.55;44.00;44.00;43.55;37547.35;857;4;54934660.00
10/02/2025;STR;STROC INDUSTRIE;42.20;43.22;43.96;42.20;79130.05;1869;19;53960818.30
07/02/2025;STR;STROC INDUSTRIE;44.50;44.40;45.20;44.40;21239.70;477;12;55434066.00
06/02/2025;STR;STROC INDUSTRIE;44.44;44.50;44.50;43.30;4640.12;107;5;55558917.50
05/02/2025;STR;STROC INDUSTRIE;43.10;43.95;43.95;43.10;5679.50;130;4;54872234.25
04/02/2025;STR;STROC INDUSTRIE;44.00;44.00;44.44;44.00;57699.68;1310;17;54934660.00
03/02/2025;STR;STROC INDUSTRIE;42.00;44.00;44.69;42.00;94310.93;2224;25;54934660.00
31/01/2025;STR;STROC INDUSTRIE;44.20;42.00;44.30;41.50;1117001.73;26313;118;52437630.00
30/01/2025;STR;STROC INDUSTRIE;46.68;44.30;46.68;44.30;268108.22;6031;43;55309214.50
29/01/2025;STR;STROC INDUSTRIE;44.50;44.49;44.50;44.25;147076.94;3306;16;55546432.35
28/01/2025;STR;STROC INDUSTRIE;45.01;44.50;45.01;44.50;31864.52;716;14;55558917.50
27/01/2025;STR;STROC INDUSTRIE;45.75;44.99;45.75;44.50;55941.96;1225;7;56170689.85
24/01/2025;STR;STROC INDUSTRIE;45.50;44.20;45.50;44.12;13826.16;310;14;55184363.00
23/01/2025;STR;STROC INDUSTRIE;43.02;47.09;47.38;43.00;70103.85;1614;23;58792571.35
22/01/2025;STR;STROC INDUSTRIE;46.90;43.99;46.90;43.00;152127.16;3482;42;54922174.85
21/01/2025;STR;STROC INDUSTRIE;48.90;44.40;48.90;44.05;57579.00;1237;16;55434066.00
20/01/2025;STR;STROC INDUSTRIE;49.00;47.00;49.00;45.61;35588.30;748;21;58680205.00
17/01/2025;STR;STROC INDUSTRIE;48.97;46.55;48.97;46.55;151044.82;3214;14;58118373.25
16/01/2025;STR;STROC INDUSTRIE;47.99;47.00;48.99;46.90;196986.54;4154;31;58680205.00
15/01/2025;STR;STROC INDUSTRIE;48.87;47.99;48.87;47.99;39269.32;817;17;59916234.85
13/01/2025;STR;STROC INDUSTRIE;49.89;49.39;49.89;45.11;8196.94;170;21;61664155.85
10/01/2025;STR;STROC INDUSTRIE;49.90;46.55;49.90;46.55;163893.25;3397;31;58118373.25
09/01/2025;STR;STROC INDUSTRIE;46.79;47.50;47.89;45.00;172944.15;3674;34;59304462.50
08/01/2025;STR;STROC INDUSTRIE;44.00;44.00;45.99;43.06;47845.48;1070;27;54934660.00
07/01/2025;STR;STROC INDUSTRIE;42.20;44.00;44.98;42.20;5863.60;137;14;54934660.00
06/01/2025;STR;STROC INDUSTRIE;44.97;43.99;44.97;43.90;57180.68;1299;19;54922174.85
03/01/2025;STR;STROC INDUSTRIE;43.90;43.90;43.95;42.15;89250.80;2037;17;54809808.50
02/01/2025;STR;STROC INDUSTRIE;42.06;43.40;43.95;42.06;37326.60;851;19;54185551.00
31/12/2024;STR;STROC INDUSTRIE;44.00;42.05;44.00;42.02;38761.65;904;21;52500055.75
30/12/2024;STR;STROC INDUSTRIE;41.70;42.00;44.72;41.70;4803.97;113;13;52437630.00
27/12/2024;STR;STROC INDUSTRIE;44.72;42.00;44.72;42.00;35416.09;843;10;52437630.00
26/12/2024;STR;STROC INDUSTRIE;41.29;41.50;41.53;41.29;2033.62;49;6;51813372.50
25/12/2024;STR;STROC INDUSTRIE;44.80;44.80;44.80;44.80;89.60;2;1;55933472.00
24/12/2024;STR;STROC INDUSTRIE;44.97;43.00;44.97;43.00;17044.78;393;10;53686145.00
23/12/2024;STR;STROC INDUSTRIE;41.20;44.97;44.97;41.20;11331.44;265;12;56145719.55
20/12/2024;STR;STROC INDUSTRIE;43.00;43.00;43.00;42.05;31027.29;731;8;53686145.00
19/12/2024;STR;STROC INDUSTRIE;44.00;44.00;44.00;43.00;13381.00;307;9;54934660.00
18/12/2024;STR;STROC INDUSTRIE;43.00;44.98;44.98;42.00;105243.85;2456;12;56158204.70
17/12/2024;STR;STROC INDUSTRIE;42.01;42.98;43.00;42.01;1876.72;44;7;53661174.70
16/12/2024;STR;STROC INDUSTRIE;43.00;42.00;43.00;42.00;51938.66;1220;25;52437630.00
13/12/2024;STR;STROC INDUSTRIE;43.90;43.90;43.90;43.90;351.20;8;3;54809808.50
12/12/2024;STR;STROC INDUSTRIE;44.15;44.00;44.15;44.00;112897.25;2565;23;54934660.00
11/12/2024;STR;STROC INDUSTRIE;44.79;44.80;44.80;44.79;10660.11;238;7;55933472.00
10/12/2024;STR;STROC INDUSTRIE;45.00;44.90;45.00;44.01;24817.40;557;10;56058323.50
09/12/2024;STR;STROC INDUSTRIE;45.88;45.40;45.89;45.00;17473.94;387;14;56682581.00
06/12/2024;STR;STROC INDUSTRIE;46.00;45.89;46.40;43.00;23823.09;534;18;57294353.35
05/12/2024;STR;STROC INDUSTRIE;44.00;46.47;46.49;42.12;17059.07;397;16;58018492.05
04/12/2024;STR;STROC INDUSTRIE;44.00;43.99;46.84;43.00;25741.00;596;14;54922174.85
03/12/2024;STR;STROC INDUSTRIE;46.95;46.50;46.95;44.00;449084.16;10201;61;58055947.50
02/12/2024;STR;STROC INDUSTRIE;46.94;46.00;46.94;46.00;11227.80;244;8;57431690.00
29/11/2024;STR;STROC INDUSTRIE;48.48;46.02;48.48;46.02;51981.59;1116;25;57456660.30
28/11/2024;STR;STROC INDUSTRIE;48.49;48.48;48.49;48.48;387.85;8;3;60528007.20
27/11/2024;STR;STROC INDUSTRIE;48.49;48.44;48.50;47.01;7362.12;152;11;60478066.60
26/11/2024;STR;STROC INDUSTRIE;46.50;48.49;48.49;46.50;9635.90;200;10;60540492.35
25/11/2024;STR;STROC INDUSTRIE;46.55;46.35;46.55;46.35;24650.94;530;7;57868670.25
22/11/2024;STR;STROC INDUSTRIE;47.03;47.00;47.03;47.00;3291.50;70;4;58680205.00
21/11/2024;STR;STROC INDUSTRIE;48.49;47.00;48.50;47.00;7212.50;150;9;58680205.00
20/11/2024;STR;STROC INDUSTRIE;45.15;46.10;48.49;45.15;19861.66;426;13;57556541.50
19/11/2024;STR;STROC INDUSTRIE;48.49;48.49;48.49;48.49;387.92;8;3;60540492.35
15/11/2024;STR;STROC INDUSTRIE;47.10;46.00;47.10;46.00;53910.00;1168;16;57431690.00
14/11/2024;STR;STROC INDUSTRIE;47.00;47.06;47.06;47.00;8184.00;174;7;58755115.90
13/11/2024;STR;STROC INDUSTRIE;48.50;47.20;48.50;47.20;13329.24;279;9;58929908.00
12/11/2024;STR;STROC INDUSTRIE;47.00;47.00;48.50;47.00;248914.50;5259;35;58680205.00
11/11/2024;STR;STROC INDUSTRIE;48.50;48.00;48.50;48.00;16792.76;349;15;59928720.00
08/11/2024;STR;STROC INDUSTRIE;49.00;48.20;49.00;48.00;200627.02;4151;13;60178423.00
07/11/2024;STR;STROC INDUSTRIE;50.49;49.00;50.49;49.00;245816.33;5016;25;61177235.00
05/11/2024;STR;STROC INDUSTRIE;50.50;49.00;50.50;49.00;320336.44;6531;39;61177235.00
04/11/2024;STR;STROC INDUSTRIE;51.00;51.00;51.00;51.00;1989.00;39;2;63674265.00
01/11/2024;STR;STROC INDUSTRIE;51.00;50.60;51.00;50.60;66157.60;1302;9;63174859.00
31/10/2024;STR;STROC INDUSTRIE;51.50;51.00;51.50;51.00;61351.50;1201;4;63674265.00
30/10/2024;STR;STROC INDUSTRIE;51.01;51.00;51.01;51.00;278205.25;5455;18;63674265.00
29/10/2024;STR;STROC INDUSTRIE;51.02;52.00;52.00;51.00;127038.49;2470;18;64922780.00
28/10/2024;STR;STROC INDUSTRIE;53.00;53.00;53.00;52.00;61271.00;1157;4;66171295.00
25/10/2024;STR;STROC INDUSTRIE;53.00;53.00;53.00;53.00;11925.00;225;2;66171295.00
24/10/2024;STR;STROC INDUSTRIE;53.00;53.00;53.00;52.99;196224.00;3703;13;66171295.00
23/10/2024;STR;STROC INDUSTRIE;49.00;53.00;54.00;49.00;259134.98;4926;23;66171295.00
22/10/2024;STR;STROC INDUSTRIE;51.00;51.00;51.00;51.00;816.00;16;3;63674265.00
21/10/2024;STR;STROC INDUSTRIE;48.20;51.00;51.00;48.20;5474.00;113;7;63674265.00
18/10/2024;STR;STROC INDUSTRIE;47.61;49.50;49.51;47.61;10771.61;220;6;61801492.50
17/10/2024;STR;STROC INDUSTRIE;53.60;51.99;53.60;51.99;1055.90;20;3;64910294.85
16/10/2024;STR;STROC INDUSTRIE;51.00;50.00;52.00;50.00;55980.11;1112;11;62425750.00
15/10/2024;STR;STROC INDUSTRIE;52.00;51.00;52.50;51.00;287417.00;5565;20;63674265.00
14/10/2024;STR;STROC INDUSTRIE;53.78;53.78;53.78;53.78;1075.60;20;2;67145136.70
11/10/2024;STR;STROC INDUSTRIE;52.00;52.00;52.50;52.00;27990.50;538;12;64922780.00
10/10/2024;STR;STROC INDUSTRIE;54.89;54.00;54.90;54.00;16079.89;297;10;67419810.00
09/10/2024;STR;STROC INDUSTRIE;55.00;54.99;55.00;52.00;58643.50;1127;14;68655839.85
08/10/2024;STR;STROC INDUSTRIE;56.00;55.00;56.00;55.00;43674.00;794;5;68668325.00
07/10/2024;STR;STROC INDUSTRIE;57.98;57.98;57.98;57.98;1159.60;20;2;72388899.70
