Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
08/06/2026;CMG;CMGP GROUP;350.00;351.90;351.90;341.00;695602.20;1994;59;5982616710.00
05/06/2026;CMG;CMGP GROUP;356.75;350.00;356.75;349.00;1594679.05;4556;65;5950315000.00
04/06/2026;CMG;CMGP GROUP;354.00;356.75;356.75;350.00;556104.25;1564;40;6065071075.00
03/06/2026;CMG;CMGP GROUP;352.30;356.50;356.70;348.10;778464.75;2211;88;6060820850.00
02/06/2026;CMG;CMGP GROUP;363.90;357.90;363.90;352.05;373484.60;1049;53;6084622110.00
01/06/2026;CMG;CMGP GROUP;358.10;359.90;365.00;356.30;2607816.65;7251;88;6118623910.00
26/05/2026;CMG;CMGP GROUP;363.95;359.90;363.95;356.10;653064.55;1817;32;6118623910.00
25/05/2026;CMG;CMGP GROUP;362.20;360.00;368.70;357.95;1506710.00;4175;75;6120324000.00
22/05/2026;CMG;CMGP GROUP;362.90;357.95;362.90;355.00;1137334.00;3177;39;6085472155.00
21/05/2026;CMG;CMGP GROUP;365.00;355.00;365.00;355.00;3612397.10;10173;56;6035319500.00
20/05/2026;CMG;CMGP GROUP;359.15;365.00;366.00;359.15;856652.40;2359;45;6205328500.00
19/05/2026;CMG;CMGP GROUP;356.00;366.00;368.40;356.00;1326535.05;3669;54;6222329400.00
18/05/2026;CMG;CMGP GROUP;360.10;360.40;363.00;360.00;912380.30;2531;58;6127124360.00
15/05/2026;CMG;CMGP GROUP;368.00;370.00;370.00;361.20;2271504.70;6154;66;6290333000.00
14/05/2026;CMG;CMGP GROUP;360.00;374.00;374.00;360.00;756165.40;2039;47;6358336600.00
13/05/2026;CMG;CMGP GROUP;360.00;378.80;378.80;350.00;2197687.60;5972;137;6439940920.00
12/05/2026;CMG;CMGP GROUP;360.00;360.00;368.80;358.00;966467.50;2684;48;6120324000.00
11/05/2026;CMG;CMGP GROUP;370.00;365.00;370.45;361.00;706672.65;1948;72;6205328500.00
08/05/2026;CMG;CMGP GROUP;365.50;374.00;374.00;361.50;1562828.25;4195;74;6358336600.00
07/05/2026;CMG;CMGP GROUP;372.00;370.00;372.00;362.00;1264330.85;3441;56;6290333000.00
06/05/2026;CMG;CMGP GROUP;362.00;371.90;372.00;360.20;3297595.75;9004;107;6322634710.00
05/05/2026;CMG;CMGP GROUP;354.00;361.65;361.65;354.00;1035850.70;2879;43;6148375485.00
04/05/2026;CMG;CMGP GROUP;351.10;360.00;365.90;351.10;1234880.70;3440;55;6120324000.00
30/04/2026;CMG;CMGP GROUP;360.00;350.00;360.00;342.00;2172301.95;6200;173;5950315000.00
29/04/2026;CMG;CMGP GROUP;365.00;360.00;365.00;358.00;585513.05;1626;49;6120324000.00
28/04/2026;CMG;CMGP GROUP;367.95;364.70;367.95;359.00;3069291.10;8503;52;6200228230.00
27/04/2026;CMG;CMGP GROUP;367.00;360.00;368.90;360.00;1413858.70;3916;116;6120324000.00
24/04/2026;CMG;CMGP GROUP;370.00;360.00;375.00;359.00;8065455.45;22277;336;6120324000.00
23/04/2026;CMG;CMGP GROUP;380.00;375.00;380.00;372.00;3621281.10;9613;64;6375337500.00
22/04/2026;CMG;CMGP GROUP;376.10;380.00;385.00;376.10;10932422.15;28807;67;6460342000.00
21/04/2026;CMG;CMGP GROUP;379.00;380.05;389.00;378.95;7249297.35;19073;75;6461192045.00
20/04/2026;CMG;CMGP GROUP;380.50;380.00;383.00;378.00;6093852.40;16037;77;6460342000.00
17/04/2026;CMG;CMGP GROUP;382.00;392.00;393.45;375.50;18217122.20;46723;155;6664352800.00
16/04/2026;CMG;CMGP GROUP;380.00;381.90;384.00;374.05;1185670.70;3114;59;6492643710.00
15/04/2026;CMG;CMGP GROUP;380.00;380.00;390.60;379.00;17168429.80;45044;203;6460342000.00
14/04/2026;CMG;CMGP GROUP;371.10;380.00;381.50;371.10;3289222.60;8668;92;6460342000.00
13/04/2026;CMG;CMGP GROUP;376.20;376.00;378.00;368.00;3107193.30;8298;88;6392338400.00
10/04/2026;CMG;CMGP GROUP;373.70;385.00;385.00;373.70;4366092.10;11379;108;6545346500.00
09/04/2026;CMG;CMGP GROUP;372.00;377.90;377.90;370.50;3327682.55;8881;64;6424640110.00
08/04/2026;CMG;CMGP GROUP;375.00;380.00;380.00;365.00;9329107.15;24889;182;6460342000.00
07/04/2026;CMG;CMGP GROUP;361.15;362.00;363.00;358.00;1883368.80;5212;75;6154325800.00
06/04/2026;CMG;CMGP GROUP;369.95;367.90;370.00;361.15;418867.15;1149;40;6254631110.00
03/04/2026;CMG;CMGP GROUP;360.15;370.00;373.00;360.00;16737780.25;45126;125;6290333000.00
02/04/2026;CMG;CMGP GROUP;360.20;369.95;369.95;354.10;4797200.55;13251;66;6289482955.00
01/04/2026;CMG;CMGP GROUP;359.00;369.00;369.00;352.00;10205317.40;28229;92;6273332100.00
31/03/2026;CMG;CMGP GROUP;360.00;350.50;360.00;350.50;2468115.60;7030;54;5958815450.00
30/03/2026;CMG;CMGP GROUP;360.00;364.00;364.10;353.10;329914.80;916;48;6188327600.00
27/03/2026;CMG;CMGP GROUP;368.00;360.00;368.00;360.00;5436571.40;15083;55;6120324000.00
26/03/2026;CMG;CMGP GROUP;357.10;370.00;370.00;357.10;17980648.95;49619;75;6290333000.00
25/03/2026;CMG;CMGP GROUP;358.90;367.00;367.00;350.00;4511607.50;12402;108;6239330300.00
24/03/2026;CMG;CMGP GROUP;360.00;355.00;360.00;346.35;1395025.10;3933;60;6035319500.00
19/03/2026;CMG;CMGP GROUP;345.00;355.00;355.00;342.00;1292864.85;3674;66;6035319500.00
18/03/2026;CMG;CMGP GROUP;340.00;356.00;356.00;339.00;2828097.20;7968;65;6052320400.00
17/03/2026;CMG;CMGP GROUP;336.50;338.00;338.00;336.25;1211064.65;3584;31;5746304200.00
16/03/2026;CMG;CMGP GROUP;330.00;339.00;339.00;329.00;3786004.55;11443;73;5763305100.00
13/03/2026;CMG;CMGP GROUP;341.00;330.00;346.95;330.00;11326950.80;34116;301;5610297000.00
12/03/2026;CMG;CMGP GROUP;345.00;340.00;345.05;340.00;6643820.30;19479;169;5780306000.00
11/03/2026;CMG;CMGP GROUP;350.10;345.00;363.00;342.00;7351098.25;21222;136;5865310500.00
10/03/2026;CMG;CMGP GROUP;360.00;349.95;369.00;349.95;5402202.75;15378;146;5949464955.00
09/03/2026;CMG;CMGP GROUP;350.00;350.00;350.00;340.00;1300207.20;3744;123;5950315000.00
06/03/2026;CMG;CMGP GROUP;375.00;353.00;379.00;350.10;18075041.95;50873;197;6001317700.00
05/03/2026;CMG;CMGP GROUP;354.00;370.00;370.00;354.00;7921423.80;21572;99;6290333000.00
04/03/2026;CMG;CMGP GROUP;338.00;350.00;360.00;338.00;2816625.95;8083;176;5950315000.00
03/03/2026;CMG;CMGP GROUP;342.00;334.00;350.00;330.00;11459052.10;34201;240;5678300600.00
02/03/2026;CMG;CMGP GROUP;355.00;352.00;365.00;352.00;12066572.05;34085;322;5984316800.00
27/02/2026;CMG;CMGP GROUP;380.00;378.00;380.20;376.00;8072651.20;21337;86;6426340200.00
26/02/2026;CMG;CMGP GROUP;381.55;383.00;390.00;380.00;1596370.50;4167;63;6511344700.00
25/02/2026;CMG;CMGP GROUP;381.15;385.00;385.00;381.15;4845680.60;12634;56;6545346500.00
24/02/2026;CMG;CMGP GROUP;389.90;385.00;389.90;380.15;2699792.40;7044;63;6545346500.00
23/02/2026;CMG;CMGP GROUP;383.20;391.00;391.00;380.25;1208533.10;3125;54;6647351900.00
20/02/2026;CMG;CMGP GROUP;382.10;392.95;392.95;382.10;6546365.50;16667;49;6680503655.00
19/02/2026;CMG;CMGP GROUP;388.00;392.00;392.00;380.25;881097.95;2262;48;6664352800.00
18/02/2026;CMG;CMGP GROUP;385.25;389.00;390.00;385.25;731730.00;1882;30;6613350100.00
17/02/2026;CMG;CMGP GROUP;388.00;394.45;396.95;386.00;4979410.60;12645;135;6706005005.00
16/02/2026;CMG;CMGP GROUP;385.90;398.00;398.00;376.00;6476191.60;16453;154;6766358200.00
13/02/2026;CMG;CMGP GROUP;388.00;385.00;388.00;375.00;17032485.40;44235;89;6545346500.00
12/02/2026;CMG;CMGP GROUP;371.20;387.90;387.90;371.20;11561004.60;30541;98;6594649110.00
11/02/2026;CMG;CMGP GROUP;375.10;380.00;380.00;370.00;1029027.65;2730;67;6460342000.00
10/02/2026;CMG;CMGP GROUP;378.50;378.00;378.50;370.00;1125926.50;3007;71;6426340200.00
09/02/2026;CMG;CMGP GROUP;379.00;378.95;379.00;367.00;572905.25;1526;95;6442491055.00
06/02/2026;CMG;CMGP GROUP;365.00;376.00;376.00;360.00;23145470.65;62614;237;6392338400.00
05/02/2026;CMG;CMGP GROUP;379.00;369.90;379.00;366.00;1337936.15;3606;106;6288632910.00
04/02/2026;CMG;CMGP GROUP;380.00;379.90;380.00;370.20;10304125.95;27123;45;6458641910.00
03/02/2026;CMG;CMGP GROUP;371.40;380.00;382.00;370.50;3128988.65;8391;79;6460342000.00
02/02/2026;CMG;CMGP GROUP;376.00;380.00;380.00;370.00;4852311.85;12829;134;6460342000.00
30/01/2026;CMG;CMGP GROUP;380.20;380.00;384.50;375.00;4363032.10;11480;86;6460342000.00
29/01/2026;CMG;CMGP GROUP;390.00;386.00;394.00;386.00;39268732.85;100749;137;6562347400.00
28/01/2026;CMG;CMGP GROUP;383.20;386.00;395.00;380.20;15785986.15;40888;177;6562347400.00
27/01/2026;CMG;CMGP GROUP;370.00;383.90;383.90;370.00;2365447.80;6221;126;6526645510.00
26/01/2026;CMG;CMGP GROUP;379.00;378.00;379.00;366.00;3724870.95;9958;177;6426340200.00
23/01/2026;CMG;CMGP GROUP;385.70;383.00;385.70;373.00;4364079.20;11425;135;6511344700.00
22/01/2026;CMG;CMGP GROUP;380.00;381.40;388.00;372.00;7977653.25;20890;116;6484143260.00
21/01/2026;CMG;CMGP GROUP;375.00;378.00;378.00;365.00;3650893.30;9680;88;6426340200.00
20/01/2026;CMG;CMGP GROUP;382.00;378.00;382.00;370.00;6383968.50;17132;152;6426340200.00
19/01/2026;CMG;CMGP GROUP;386.00;375.00;386.00;375.00;6894973.80;18338;133;6375337500.00
16/01/2026;CMG;CMGP GROUP;389.90;385.00;389.90;383.00;2154155.55;5593;97;6545346500.00
