Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
26/02/2025;CSR;COSUMAR;205.00;207.45;207.45;205.00;16935026.45;82224;35;19601357815.35
25/02/2025;CSR;COSUMAR;207.50;206.05;207.50;204.05;1705822.40;8278;14;19469075815.15
24/02/2025;CSR;COSUMAR;206.00;207.45;207.45;203.50;8117893.85;39272;33;19601357815.35
21/02/2025;CSR;COSUMAR;205.90;205.00;205.90;204.00;13772006.70;67204;39;19369864315.00
20/02/2025;CSR;COSUMAR;203.70;205.00;205.00;203.15;6489990.15;31683;67;19369864315.00
19/02/2025;CSR;COSUMAR;205.00;204.00;205.00;204.00;1122557.05;5501;39;19275377172.00
18/02/2025;CSR;COSUMAR;203.00;205.00;206.00;203.00;28288623.85;138008;66;19369864315.00
17/02/2025;CSR;COSUMAR;203.50;205.00;207.00;202.50;6576843.95;32101;37;19369864315.00
14/02/2025;CSR;COSUMAR;206.00;203.50;206.00;203.00;5207844.20;25433;38;19228133600.50
13/02/2025;CSR;COSUMAR;206.00;205.00;206.00;205.00;1300356.60;6340;22;19369864315.00
12/02/2025;CSR;COSUMAR;206.00;205.50;206.00;205.00;156274.00;761;16;19417107886.50
11/02/2025;CSR;COSUMAR;208.00;206.00;208.00;205.50;982819.75;4743;41;19464351458.00
10/02/2025;CSR;COSUMAR;209.70;208.90;209.70;205.10;265968.70;1286;31;19738364172.70
07/02/2025;CSR;COSUMAR;210.00;209.80;210.00;207.00;2385616.70;11434;32;19823402601.40
06/02/2025;CSR;COSUMAR;205.00;209.90;209.90;205.00;1184414.10;5651;41;19832851315.70
05/02/2025;CSR;COSUMAR;205.20;205.10;210.00;205.10;582194.70;2834;36;19379313029.30
04/02/2025;CSR;COSUMAR;210.00;210.00;210.00;206.50;1101194.50;5257;44;19842300030.00
03/02/2025;CSR;COSUMAR;214.00;210.00;214.00;210.00;872100.25;4127;70;19842300030.00
31/01/2025;CSR;COSUMAR;205.00;205.00;209.00;205.00;12085654.00;58675;52;19369864315.00
30/01/2025;CSR;COSUMAR;207.00;209.00;209.90;204.00;9073501.55;43484;118;19747812887.00
29/01/2025;CSR;COSUMAR;206.50;206.45;206.50;203.00;1314210.50;6429;52;19506870672.35
28/01/2025;CSR;COSUMAR;207.40;206.60;207.40;205.00;197608.15;961;16;19521043743.80
27/01/2025;CSR;COSUMAR;208.85;207.95;208.85;204.50;64844.90;312;17;19648601386.85
24/01/2025;CSR;COSUMAR;208.00;208.00;208.85;204.00;9948011.15;47870;51;19653325744.00
23/01/2025;CSR;COSUMAR;205.00;207.00;207.95;200.10;17052410.95;83337;53;19558838601.00
22/01/2025;CSR;COSUMAR;200.00;201.50;203.90;196.10;15824058.05;78954;79;19039159314.50
21/01/2025;CSR;COSUMAR;204.50;200.25;205.00;200.00;15639401.75;77541;80;18921050385.75
20/01/2025;CSR;COSUMAR;209.00;204.45;209.00;201.60;5054096.65;24736;130;19317896386.35
17/01/2025;CSR;COSUMAR;212.00;209.10;213.00;209.00;10640450.90;50815;110;19757261601.30
16/01/2025;CSR;COSUMAR;215.90;213.00;215.90;210.10;16029939.00;75182;167;20125761459.00
15/01/2025;CSR;COSUMAR;213.00;215.00;216.90;212.05;46738191.80;217274;384;20314735745.00
13/01/2025;CSR;COSUMAR;196.00;208.00;215.00;188.00;38450101.00;187161;290;19653325744.00
10/01/2025;CSR;COSUMAR;196.00;199.00;199.00;193.00;20384280.25;103869;59;18802941457.00
09/01/2025;CSR;COSUMAR;193.00;195.25;196.80;192.00;28978916.70;148671;65;18448614670.75
08/01/2025;CSR;COSUMAR;188.70;192.00;194.00;188.60;9619949.70;50130;32;18141531456.00
07/01/2025;CSR;COSUMAR;194.00;188.60;194.00;188.50;4410484.50;23387;49;17820275169.80
06/01/2025;CSR;COSUMAR;194.00;191.50;194.00;191.00;686540.50;3582;26;18094287884.50
03/01/2025;CSR;COSUMAR;187.80;194.00;194.00;187.00;20142173.90;104991;55;18330505742.00
02/01/2025;CSR;COSUMAR;187.00;187.00;188.00;187.00;264059.70;1411;28;17669095741.00
31/12/2024;CSR;COSUMAR;193.00;190.00;193.00;190.00;873796.50;4597;29;17952557170.00
30/12/2024;CSR;COSUMAR;186.20;191.00;191.95;186.10;257873.55;1369;22;18047044313.00
27/12/2024;CSR;COSUMAR;190.00;186.05;190.00;185.00;4180607.80;22517;23;17579332955.15
26/12/2024;CSR;COSUMAR;190.00;186.00;190.00;181.00;1874191.10;10122;58;17574608598.00
25/12/2024;CSR;COSUMAR;190.00;185.70;190.00;185.70;2361350.00;12708;40;17546262455.10
24/12/2024;CSR;COSUMAR;190.00;186.00;190.00;186.00;7031605.50;37768;86;17574608598.00
23/12/2024;CSR;COSUMAR;190.00;190.00;192.00;190.00;687698.75;3619;36;17952557170.00
20/12/2024;CSR;COSUMAR;190.00;190.00;192.50;190.00;2452811.50;12909;25;17952557170.00
19/12/2024;CSR;COSUMAR;190.80;190.00;191.00;190.00;4420792.75;23188;71;17952557170.00
18/12/2024;CSR;COSUMAR;191.20;190.80;191.20;190.80;98761.20;517;12;18028146884.40
17/12/2024;CSR;COSUMAR;195.90;191.10;195.90;191.10;384159.00;2010;8;18056493027.30
16/12/2024;CSR;COSUMAR;196.00;191.00;196.00;191.00;211000.00;1103;17;18047044313.00
13/12/2024;CSR;COSUMAR;192.30;190.70;193.50;190.50;1716283.55;8989;35;18018698170.10
12/12/2024;CSR;COSUMAR;194.00;193.00;194.00;193.00;463859.00;2399;17;18236018599.00
11/12/2024;CSR;COSUMAR;193.70;194.00;194.00;193.70;10269.10;53;2;18330505742.00
10/12/2024;CSR;COSUMAR;193.50;195.00;195.00;193.50;1638134.00;8444;11;18424992885.00
09/12/2024;CSR;COSUMAR;195.00;195.00;195.00;193.50;2558781.50;13122;12;18424992885.00
