Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
07/11/2024;RDS;RESIDENCES DAR SAADA;75.50;74.52;76.50;74.50;1317616.97;17587;94;1953083502.00
05/11/2024;RDS;RESIDENCES DAR SAADA;74.89;74.08;75.50;74.08;594485.02;7947;83;1941551608.00
04/11/2024;RDS;RESIDENCES DAR SAADA;74.50;73.50;76.00;73.50;2298138.95;31046;154;1926350475.00
01/11/2024;RDS;RESIDENCES DAR SAADA;75.00;73.80;76.25;73.80;1592367.57;21434;180;1934213130.00
31/10/2024;RDS;RESIDENCES DAR SAADA;76.00;74.50;77.00;74.50;13342439.85;177353;333;1952559325.00
30/10/2024;RDS;RESIDENCES DAR SAADA;77.66;76.50;79.50;74.00;9534957.11;123407;330;2004977025.00
29/10/2024;RDS;RESIDENCES DAR SAADA;77.20;77.24;78.80;76.10;1958373.95;25346;136;2024371574.00
28/10/2024;RDS;RESIDENCES DAR SAADA;79.00;77.00;80.00;77.00;6700898.61;86093;312;2018081450.00
25/10/2024;RDS;RESIDENCES DAR SAADA;78.40;78.20;79.40;77.11;3147304.69;40274;153;2049532070.00
24/10/2024;RDS;RESIDENCES DAR SAADA;81.50;77.90;82.60;77.00;10100267.08;128967;459;2041669415.00
23/10/2024;RDS;RESIDENCES DAR SAADA;80.50;81.40;84.00;80.50;9115138.90;111066;282;2133400390.00
22/10/2024;RDS;RESIDENCES DAR SAADA;76.90;80.00;82.20;76.00;27207147.12;342166;702;2096708000.00
21/10/2024;RDS;RESIDENCES DAR SAADA;74.50;75.30;77.95;74.40;4082328.75;54007;152;1973526405.00
18/10/2024;RDS;RESIDENCES DAR SAADA;77.00;74.50;77.86;73.00;2457931.66;32927;137;1952559325.00
17/10/2024;RDS;RESIDENCES DAR SAADA;70.51;75.62;78.00;70.51;5396353.29;71829;218;1981913237.00
16/10/2024;RDS;RESIDENCES DAR SAADA;72.00;71.90;73.40;69.00;3812663.47;53728;259;1884416315.00
15/10/2024;RDS;RESIDENCES DAR SAADA;74.50;73.07;75.10;72.55;2143056.12;29074;144;1915080669.50
14/10/2024;RDS;RESIDENCES DAR SAADA;76.94;75.15;76.95;74.50;480306.35;6401;67;1969595077.50
11/10/2024;RDS;RESIDENCES DAR SAADA;77.90;75.95;77.90;75.95;503623.50;6600;69;1990562157.50
10/10/2024;RDS;RESIDENCES DAR SAADA;77.90;76.15;78.85;76.15;4756533.11;61789;138;1995803927.50
09/10/2024;RDS;RESIDENCES DAR SAADA;76.25;77.00;79.00;75.00;4806903.73;61796;158;2018081450.00
08/10/2024;RDS;RESIDENCES DAR SAADA;78.00;76.00;79.70;73.50;7912950.08;105458;293;1991872600.00
07/10/2024;RDS;RESIDENCES DAR SAADA;81.14;79.60;81.14;78.52;7134899.96;89707;222;2086224460.00
04/10/2024;RDS;RESIDENCES DAR SAADA;79.31;80.00;83.15;79.31;13663749.96;167821;454;2096708000.00
03/10/2024;RDS;RESIDENCES DAR SAADA;76.00;79.00;79.00;76.00;9802848.90;126418;327;2070499150.00
02/10/2024;RDS;RESIDENCES DAR SAADA;72.53;75.49;75.49;70.00;6689857.19;90699;277;1978506086.50
01/10/2024;RDS;RESIDENCES DAR SAADA;77.40;74.53;77.40;74.01;8559800.03;113089;268;1953345590.50
30/09/2024;RDS;RESIDENCES DAR SAADA;74.94;75.78;75.78;71.10;17640328.66;236598;468;1986106653.00
27/09/2024;RDS;RESIDENCES DAR SAADA;69.19;68.90;69.48;67.50;3710162.70;53985;261;1805789765.00
26/09/2024;RDS;RESIDENCES DAR SAADA;69.00;69.49;69.78;64.70;14334981.10;212778;765;1821252986.50
25/09/2024;RDS;RESIDENCES DAR SAADA;73.22;70.02;73.22;70.02;8702311.55;122020;650;1835143677.00
24/09/2024;RDS;RESIDENCES DAR SAADA;74.22;73.22;75.00;73.00;6943478.15;93985;420;1919011997.00
23/09/2024;RDS;RESIDENCES DAR SAADA;75.00;74.88;75.80;74.01;2797056.26;37402;154;1962518688.00
20/09/2024;RDS;RESIDENCES DAR SAADA;75.50;74.35;75.89;74.20;6021743.33;80687;274;1948627997.50
